,id,text,label,gpt_response,perspective_response,perspective_error,gpt_response_txt,perspective_response_bin
23,1807,Thank you @user for doing nothing while a homeless man called me bitch and a hoe 3in. from my face while your patrol car was at the light,0,1,0.9867202,, True,1
24,2557,"@user @user @user @user No, it is not. There are 50 States, and PR is NOT one of them.Nice try though.Bye, Felicia.#DealWithIt #WWG1WGA #QAnon #Q #RedWave #WalkAway #AmericaFirst #FISAGate #LockHerUp #LockThemAllUp #BuildTheWall #DeportThemAll",0,0,0.6512427,, False,1
25,1545,Hoes be so pressed like bitch I'm younger than you and shitting on you!!!,1,1,0.88824683,, True,1
26,2840,"I have never raped a bitch, but I will break a bitch. – @user official season 10 tagline! #RHOA",0,0,0.9398281,, False,1
27,1035,"On this day in 2001 extremist Al-Queda Muslims Islamic Terrorist blew up the Twin Towers, Sad. Keep @user safe from these extremist @user #BuildThatWall #POTUS let's not go backwards with @user @user @user @user @user let's move forward with @user @user @user #MAGA",0,0,0.43268967,, False,0
28,2193,@user Ctfu meanwhile she stanning his old bitch 😂😂😂😂✋ stomach hurt,1,0,0.07095391,, False,0
29,1784,@user Maybe Hal has an undetected congenital heart defect that can remind him of karma being a bitch to A-holes.,0,1,0.93232936,, True,1
30,443,Fuck whoever said that cause you a bad bitch and far from a hoe Anna queen ❤️,0,1,0.95932645,, True,1
31,1283,@user @user @user For @user it's to easy to undo the past president's because there were no legacy to start with. Maybe lazy. #MAGA #DrainTheSwamp #BuildThatWall,0,1,0.4649106,, True,0
32,781,"Bitch pressure is mental rape, bye",0,1,0.10731068,, True,0
33,1516,"@user Yeah, bitch. Because you decided to be a filthy incestuous whore midway through it.",1,1,0.3238623,, True,0
34,697,"@user Yes, walls can do just that. #BuildThatWall",0,0,0.8606264,, False,1
35,551,@user We dont care of your meeting Jesus.Have the vote before the mid terms.Make those people vote so we know who is against it so we can vote for those who want it.#BuildThatWall or shut it down. Simple as that.,0,1,0.8785311,, True,1
36,1120,@user Bruh this bitch so pale and ugly. Disgusting ass racist white cunt,1,1,0.67390406,, True,1
37,2967,"@user @user @user @user @user @user @user @user @user @user @user Am in agreement with your views except the last one about - ""migrant can also live peacefully"". There is a clear demarcation between Migrants and Illegal Immigrants. Pray you do not call illegal immigrants as migrants",0,1,0.9480856,, True,1
38,30,"When some1 is very sick, you send a doctor, not ask them to come to hospital themselves. Now explain me why are we bringing in Syrians, especially adults, into Turkey letting them steal our jobs, lower the wages and ridicule our values?#sendthemback #syrian #Refugees #Turkey",1,1,0.9670111,, True,1
39,346,If you can go to a bitch house and FUCK her nigga them hoe you better help pay rent in that mf !!!!!,1,0,0.8789846,, False,1
40,2040,You broke ass bitch act like a nigga want y'all dusty inside out ass pussc you hoes need to die and come back to life and restart.,1,1,0.94992846,, True,1
41,1675,"It's funny when people say ""if someone says they're a boy, they're a boy!"" while calling me a ""bitch"" or a ""cunt,"" referencing my gender.",0,0,0.7769443,, False,1
42,2296,@user #MichaelCutler correct . Stephanie is WRONG! #GANGOF8 ? #Hereticchurches worldwide taking #Soros $ #Muslimrefugrees & #illegalaliens COME ON STEPHANIE DO YOUR HOMEWORK #LINDSEYGRAHAM,0,0,0.6219156,, False,1
43,2725,"@user Step to me, I'd smack around your ignorant, racist ass. Bitch boy. I'll make you clean your blood off my shoes.",0,1,0.30791107,, True,0
44,2228,The Wall funding.. before or after election? Trump threatens shutdown of government over border wall. #safety #Trump#BuildThatWall #safety #Shutdown,0,1,0.9489003,, True,1
45,392,The Cubans never assimilated in Miami. Thats why I left. #ThirdWorldCountry #StopTheInvasion,0,1,0.9179144,, True,1
46,1774,@user How many #illegalaliens use twitter?,0,1,0.9606,, True,1
47,2635,I think a conservative estimate is 99% of #asylum claims by #illegals are false. #DeportThemAll #ArrestEmployers #MAGA,1,1,0.17503431,, True,0
48,540,@user @user We all need to get rid of Republicans that are not supporting building the wall. #BuildThatWall #midtermElections,0,1,0.45713374,, True,0
49,1634,"@user @user Just got on twitter because of this farce today. Imagine this, I make a report on You. Calling you names and telling people how big liar and asshole you are without reason. Would you be angry? Of course You would be. Its a same with me. You can fuck off to help some rape",1,1,0.95039827,, True,1
50,1512,@user see you again and foreword are easily the best on that bitch.,0,1,0.9923654,, True,1
51,1204,Amen. #MAGA #WalkAway #LeaveDNC #VoteRed2018 #Trump2020 #TrumpPence2020 #WakeUp #NoJihad #NoDACA,0,1,0.93269056,, True,1
52,1040,Every man Cheat and Every bitch lie. Call it Even Lil lil Lil whore #blacYoungstavc,1,0,0.8606264,,"

False",1
53,175,"Whoa. Wake the eff up, Western Society. #wakeup #stoptheinvasion",0,1,0.15486482,, True,0
54,630,Really #RachelMaddow at least be honest and call illegal aliens - #IllegalAliens. Calling them #Immigrants is highly misleading to those who don't know better. You sound just like #FoxNews in reverse. Not a compliment.,0,1,0.9156528,, True,1
55,602,Liberals will do anything 2stop the recovery that is taking place under President Trump's policies! We must turn out N record numbers2 keep the house &Senate in November! #DrainTheDeepState #VoteRedToSaveAmerica #ConfirmKavanaugh #BuildThatWall #TRUMP2020,0,0,0.10820726,, False,0
56,2429,@user The fact that they are here illegally makes them criminals -why reward that behavior? Not coming here for Freedom more like the FREE STUFF -If we did not give illeagals FREE STUFF they wouldnt be here #BuildThatWall,1,1,0.36634755,, True,0
57,2927,#BuildThatWallNow I do not want those vile thugs in our country! #EndChainMigration #EndSanctuaryCities #EndVisaLottery #AngelFamlies,1,0,0.8971823,, False,1
58,1105,@user Nigga ! That's what I'm saying . This white dude really raped and nearly killed a bitch and got probation…,0,1,0.8540145,, True,1
59,2945,"They all made false statements that they were U.S. citizens- submitted fraudulent Social Security cards, driver's licenses and state ID cards - to their employers to take #jobs From LEGAL Workers #LaborDay #laborday #MAGA #SendThemHome #HireAmericans",1,1,0.54389584,, True,1
60,2379,S/O to all you lurking hoes and bitch ass niggas 😇🖕,1,1,0.83407235,, True,1
61,558,"Being in the country illegally is not a victimless crime. Millions of Americans, in many cases children, are having their identities stolen to enable criminal activity!#BuildThatWallIllegal immigrants cited in theft of 39 million Social Security numbers",1,1,0.7707939,, True,1
62,332,i am s1-3 damon salvatore's bitch. i've been called a white man's whore,0,0,0.14692785,, False,0
63,1799,"@user @user @user @user Hahaha the policy in place is Labors, all the LNP government has done is improve it #Manus #SendThemHome",0,1,0.9185422,, True,1
64,2175,A LARGE group (100+) of out-of-control African youths have hurled a number of rocks and damaged a police car during a rampage in Melbournes northwest!Thank you @user for importing this rubbish into our country. #auspol #springst #sendthemback,1,1,0.9461819,, True,1
65,2562,@user @user All they know is to HATE and to DESTROY! Just like our dems! This is what they want to bring to our Beautiful America! They HATE us & we TAKE CARE of them! WTF?! #WakeUpAmerica #BuildThatWall #VoteRedToSaveAmerica @user WAKE UP @user @user #WeAreWatching,1,1,0.74102914,, True,1
66,2009,"@user Hahahaha bitch, I watched that video and the whole time I was like ""Kim wants to just get up and leave.""",0,1,0.9156528,, True,1
67,459,If Germans want rapefugees they can keep them. Poland will not accept a single rapefugee. Not even one!!! Poland remains proud and firm!,1,0,0.24385904,,"

False",0
68,1986,@user lmfao oh you serious? 😂 hoe i was playing with yo rock head ass. janae don't play with me. you know how I rock lil bitch!!!💯,1,0,0.5105191,, False,1
69,1844,@user @ are fighting back with You ! Now lets #BuildthatWall #DeportThemAll and Ask a #Democrat Why they Support Illegals and Wont Mention Americans killed by Illegals every chance we get !,1,1,0.9595174,, True,1
70,853,"<ILLEGAL ALIENS>If we want to make our voices heardand stop the Illegal invasion of America,If we truly want to tackle Illegal Migration, rememberAmnesty only entices it.We need to:#EndDACA#EndChainMigrationInsist there be#NoAmnesty #EndIllegalBirthrightCitizenship1/1",1,1,0.92227197,, True,1
71,2578,@user #DHSFundingBill has many #globalist pills attachedby @user #NoHR392 #NoDACA #NoAmnesty #Nocatchandrelease #BuildTheWall @user @user @user @user @user @user @user @user @user,0,0,0.3446907,, False,0
72,226,"@user @user @user @user @user @user @user @user @user RT @user Please arrest/prosecute all Governors, Mayors, and members of #Congress who are violating any Federal Laws. #USA #Americans #Constitution #2A #1A #EndSanctuaryCities #EndDACA #NoAmnesty #EndGunControl #EndGunFreeZones #A",0,0,0.17050196,,"

False",0
73,1622,"Yooo y'all remember when Tyler said ""rape a pregnant bitch and tell my friends I had a 3sum"" now he's singing about calling him lol growth",1,1,0.8606264,, True,1
74,2131,"Message Sent, Sleep Cells Activated, The Plan Is Now Active - Episode 1659b #WWG1WGA #AmericaFirst #ThesePeopleAreEVIL #BuildTheWALL #NoDACA #GreatAwakening #PedoGate #PizzaGateIsREAL #MKUltra #CorruptCIA #ObamaGate #ThesePeopleAreSick #SRA #QAlert",0,1,0.96712154,, True,1
75,966,BITCH. They ship TODAY if you order before 1pm + they have Afterpay and free samples. UP UR GAME HOES,0,1,0.99440867,, True,1
76,597,@user I asked somebody for this hoe and they gave it to me you finna piss me off bitch gtf out my mentions,0,1,0.48936102,, True,0
77,87,"""@ceraldi_carleen I am sure he lied about it on his application. They need to deport him like they're doing to all naturalized citizens who """"lied"""" on the apps. #sendthemback""",1,1,0.8785311,, True,1
78,2443,@user @user Send me your info please cause you too loose with this bitch word 😂,0,0,0.95879436,, False,1
79,377,Nail salon playin sad ass MFn songs totally ruining my whole treat yo bad ass queen self attitude while I try to hold back lil bitch tears.,0,1,0.9585024,, True,1
80,1014,Promises Made Promises KeptThank you for keeping your promises#FundTheWall #BuildtheWall #HomelessVeterans#IllegalImmigrants #MAGA #KAG @user Letters available here I'll even send you a copy for a keepsake,0,0,0.949111,, False,1
81,899,@user @user @user @user Thank you for the Follow! #NoAmnesty #EndDACA #BuildTheWall,0,1,0.9921974,, True,1
82,1439,@user No we wouldn't! #LiberalismIsAMentalDisorder #walkaway @user #Trump2020 #MAGA #AmericaFirst #RedRage #DrainTheSwamp #BuildTheWall #SendThemBack #BoycottHollywood #BoycottTheNFL #FakeNews,0,1,0.972139,, True,1
83,654,"The wall isn't racism, it stops slavery via @user #BuildThatWall #BuildTheWall #MAGA #GOP #Democrats",0,1,0.43266636,, True,0
84,2156,LOL had to share! #IAmSpartacus #LiberalismIsAMentalDisorder #RedWaveRising2018 #BuildThatWall #KAG2018 #KAG2020 #KavanaughHearings,0,1,0.8930006,, True,1
85,202,I might send this too my whole family cause they all believe kids got it easy. Bitch please,0,1,0.93232936,, True,1
86,838,"Chicks be 2 weeks pregnant and be like ""what my baby needs, I got em""....bitch, your baby need facial features first hoe.",1,1,0.9328499,, True,1
87,693,"@user You are confused which Obama, Soros, the MSM want. It is the aforementioned NWO elites that are conning you. Do your research and learn the truth. Thank God Trump won!!!#MAGA #AMERICAFIRST #BuildTheWall #NoDACA #NoChainImmigration #NoAnchorBabies #NoSanctuaryCities",0,1,0.9897058,, True,1
88,1352,"The Hillary server/unmasking of U.S. citizens/FBI-CIA-DOJ conspiracy, perjury & obstruction - A SILENT COUP - to take down a U.S. President; by far the largest & deepest scandal to ever hit U.S. government.#MAGA #KAG #Trump #POTUS #NEWS #USA #WalkAway #DrainTheSwamp #NoDACA",1,1,0.94992846,, True,1
89,908,Gavin is a whole ass bitch like nigga 😂😂😂😂 don't ever come for me and you haven't even hit puberty yet,0,1,0.8571379,, True,1
90,2715,"N.J. man charged with human trafficking, sex assault of 18-year-olds #WWG1WGA #BuildTheWALL #ThesePeopleAreEVIL #Pedovores #NoDACA #GreatAwakening #PedoGate #PizzaGateIsREAL #PedoWood #HollyWeirdPANIC #TruthMatters #MKUltra #EndChildSexTrafficking",1,0,0.9253005,, False,1
91,2569,@user @user They should be deported the moment they are caught. #AmericaFirst #BuildTheWall #DeportThemAll #NoBenefitsForIllegals #NoFundingForSanctuaryCities #VetsFirst #Chicago #StopAsylumAbuse #DeportThemAll #WWG1WGA #WeAreQ #QArmy #qanon #ApologyTourIsOver,1,1,0.95912915,, True,1
92,454,"@user Also, water is wet. #SendThemBack",0,1,0.9162564,, True,1
93,1522,Germany: Refugee sentenced to 8 years and 6 months for teen murder.#deportThemAll #deportMuslimFreeloaders #DeportAfricanFreeloaders #deportMuslimMigrants #deportAfricanMigrants #deportAfricanRefugees,1,0,0.9325721,,"

The given phrase is true.",1
94,389,"@user Ben, you are shit on my shoe still bitch.",0,0,0.1892428,, False,0
95,890,The only agenda of ABVP/ RSS in the universities of India is to divide students community on the basis of communal lines.Lets vote for a #GUNDAfreeCampusLet's vote for unityLets vote for NSUI#NSUI5313 #DUSU2018 #DUSpeakUp#SendThemHome,0,1,0.93232936,, True,1
96,236,@user @user It was awesome!!! #BuildThatWall,0,0,0.15329981,, False,0
97,2239,@user @user @user BITCH IM 8 INCHES!,0,0,0.94992846,,"

False",1
98,940,LANA SAYIN BITCH AND FUCK HAS GIVEN ME A WHOLE NEW LIFE #LustForLife,0,1,0.9593504,, True,1
99,549,These lil mut whores keep dickeating my man and they not even fans like bitch gtfoh,0,1,0.262929,, True,0
100,2966,Silly Killary WANNABE !! And @user numbers JUST keep CLIMBING !! #MAGA#MASA#BuildThatWall #BuildTheFuture,0,0,0.9018155,, False,1
101,1510,"@user #1 illegal aliens, millions of EWI people robbing, maiming, killing our citizens, taking our jobs, fleecing our taxpayers.#votered@realDonaldTrump @user @user @user #AmericaisforAmericans#legalvettedimmigrationonly#boycottviceland#MAGA #NoDACA",1,1,0.13917923,, True,0
102,414,@user #BuildThatWall hurry up and get it finished. It's started but not completed. Thank God the National Guard will remain on the southern border with Border Patrol for another year per General Mattis.,0,1,0.9495025,, True,1
103,2519,@user 'NON-#FakeNews TRANSLATION': 'DESPICABLY 100 (ONE HUNDRED) % (PERCENT) ACCURATE' #refugeesNOTwelcome #Brexit #Liverpool,1,1,0.8877423,, True,1
104,209,@user And they are dead wrong. Migrant workers are eligible to come here on visas that allow them to work to do those jobs.#IllegalAliens need not apply,0,1,0.21519855,, True,0
105,1924,@user What a complete bitch he is..  sour cunt,0,0,0.6344037,, False,1
106,1055,BITCH. YUGYEOM IS A WHOLE DAMN LEGEND,0,1,0.97372913,, True,1
107,1755,"@user @user #migrants #muslimmigrants go home. You do not belong among ordinary people. Killing, raping, enslaving and torturing people is not allowed even if you call it a religion. You have no rights over me.",1,1,0.9821713,, True,1
108,2247,She asked if i wanna suck pussy biTCH I BEEN DOING THAT THIS WHOLE TIME,0,0,0.21640094,,"

False",0
109,1008,He gone tell me he gotta come to MY house so ME can wake him up for work in the am😒 bitch have one of yo hoes wake you up,1,1,0.27759948,, True,0
110,2067,@user @user @user youre not even confident enough to put your face online lmao respect your body you ugly ass bitch,1,0,0.77607214,, False,1
111,724,9/12 was just as important as was 9/11#IllegalAliens#OldMenWithPens#KAG#VoteRed2018#RedWaveRising2018#WalkAway#TheStormIsHere #TheGreatAwakening#Q#QArmy#QAnon#WeThePeople#AmericaFirst#DonaldTrump#DrainTheDeepState#DrainTheSwamp,0,1,0.9737233,, True,1
112,718,"Another fine example of why illegal aliens are problem. If your here illegally, why would you want to draw attention to yourself this way. Illegal aliens have no fear of our legal system & only care about themselves. Awful way to die #BuildThatWall",1,0,0.5154597,, False,1
113,1223,@user bitch do it look like WE play ?!,0,1,0.94992846,, True,1
114,2337,Why niggas be cuffin proud whores though? Nigga we use to call that bitch Smash Mouth,0,1,0.26448184,, True,0
115,1491,HEEEEE'S BAAAAAACCK! bama refers to himself 102 times during 64-minute speech!Reminding us ALL how to VOTE:#Trumplandslide2020 AND#PENCE2024 AND WE WANT TO #BUILDTHATWALL!! via @user,0,1,0.10949509,, True,0
116,2087,@user Eric Lang and other #Yarrabee Farm owners need to be charged with the negligent homicide of #mollytibbetts @user @user @user @user @user @user #NoAmnesty #Deport #NoDaca,0,1,0.9156528,, True,1
117,481,Sen Booker posted the confidential information on his twitter account. There is no way I will vote Democrat again. Disregard for the laws when it suits them. And he wants to run for POTUS.#2Amendment #BuildThatWall #DeportThemAll #CivilWar #DeclassifyItAll,0,0,0.842858,, False,1
118,1783,When do kids go back to school #sendthemback,0,1,0.7686621,, True,1
119,1125,"I can never have a conversation  with my best friend without calling her ""bitch"" or ""hoe"" 😭❤️ coz I mean dassss my bitch ❤️😃😍",0,0,0.9875118,, False,1
120,2843,"This white man called me a cunt? like what is that? Is it like saying ""bitch"" lmao",0,0,0.902545,, False,1
121,822,"I encourage all my friends to do everything so if they want to be a hoe, bitch I support you.",0,1,0.30753988,, True,0
122,1020,"That ""date rape is a grey area"" shit was the final nail in her fucking coffin. That dumb bitch is over.",1,1,0.4438071,,"

True",0
123,932,@user @user It was like BHO released a cancer virus on the people of the U.S. intentionally.#InternetBillOfRights #DarkLeft #WalkAway #ReinstateRobynGritz #FireRosenstein #JimJordan4Speaker #2A #DefundPlannedParenthood #ChainDeportation #BuildThatWall #BoycottNetflix #NationalRecipr,0,1,0.2619628,, True,0
124,1604,"YASS Queen, keep blessing us! Shoe game on psychotic bitch    @user",0,1,0.7951116,, True,1
125,1971,"@user @user 45 only hates chain migration when it involves brown people. He also believes that he and his family are special & above having to adhere to the same laws as the rest of us. So, no surprise there! He bought Melania a Genius Visa, so none of them belong here. #SendThemHom",0,0,0.9314671,, False,1
126,1747,@user i hope this bitch gets raped,1,1,0.9541029,, True,1
127,1233,TRUMP: PENTAGON WILL BUILD WALL!Trump says he could use the MILITARY to build his wall if Congress won't fund it through Homeland Security's budget #BuildThatWall #BuildTheWall,0,0,0.9327547,, False,1
128,1584,@user happy birthday u bad bitch !!!!!!!!!!!!!! Love u lots🌻,0,1,0.74881196,, True,1
129,445,@user Just a whiney cunt bitch of a wife,1,1,0.9813545,, True,1
130,942,@user @user @user knows her audience & how nave & ignorant they are; that they will believe anything regardless how ridiculous. These politicians have NO RESPECT for their constituency.#MAGA #KAG #POTUS #Trump #NEWS #VoteRed #NoDACA #WalkAway #AmericaFirst #USA #BuildTheWall,0,1,0.94992846,, True,1
131,1839,But bitch it wasnt about you! that's what im saying! and again you sitting here tryna make the shoe fit😂,1,1,0.85064775,, True,1
132,768,@user @user Just heard TRUMP was renewed for a second season. The ratings are through the roof! #TrumpTrain #RedWave #MAGA #BuildThatWall #AmericaFirst,0,1,0.9480856,, True,1
133,1437,Illegal invaders going back! Wonder how many will be back next week? #BuildthatWall,1,1,0.9480856,, True,1
134,2518,@user Allies? you mean those political bastards who sold their country to the rapefugee business?,0,1,0.19975556,, True,0
135,2509,@user 😂😂😂😂 Bitch he'll be getting more than just shoes 👀😏,0,0,0.9480856,, False,1
136,160,#stopimmigration#banislam#Merkelmussweg #FuckEUNot far right but Damn right !,1,1,0.95904636,, True,1
137,1648,S.O.S. ~+++~ Help Europe Now !!!#Rapefugee #OpenBorders #MuslimMigrations #QAnonGermans protest Merkel while Migrant attack in progress via @user,1,0,0.7093121,, False,1
138,2673,Now it makes sense why they cast that dumb Bitch Lena Dunham. Her cunt ass looks like she would join a cult,1,1,0.33232057,, True,0
139,246,@user You commies live in LALA LAND! #MAGA #NoDACA #howdoyoulikeusnow,0,1,0.43475977,, True,0
140,3,"stop JUDGING bitches by there cover, jus cuz she bad don't mean she's a catch shawdy could be a whore 👀 das opposite of a keeper",1,1,0.33212408,, True,0
141,1892,"And anyone who says otherwise is either a grade-A asshole or has no idea what they are talking about. Being depressed is a bitch, but...",0,0,0.26682994,,"

False",0
142,2243,The U.S is $21 Trillion in Debt we cant Import the Poor and give them Welfare #Trump #MAGA #SendThemBack #Immigration #RedNationRising via @user,1,0,0.29071534,,"

False",0
143,2829,@user @user Hey did you see How he was reading the same TelePrompTer (book of LIES) that Hussein-#Treason was reading back in 2008? #MAGA #WalkAway #LeaveDNC #VoteRed2018 #Trump2020 #TrumpPence2020 #WakeUp #NoJihad #NoDACA,0,1,0.93232936,, True,1
144,250,Return the children to pedophiles and human trafficking in most cases OR don't cross border and mommies won't have that issue! #BuildThatWall,0,0,0.3392082,, False,0
145,1358,"@user Bitch, as if there's any greater joy in life than negativity and discourse.",0,1,0.17781271,, True,0
146,2692,I hate mfs who slam doors when they mad like bitch if you break my shit how ima keep the hoes out?,1,1,0.05023712,, True,0
147,2144,#BuildThatWall We can't afford any more dummies who can't make it on their own.,1,1,0.8309611,, True,1
148,2052,@user @user @user @user @user @user #BuildTheWallNow @user @user BEFORE the Midterm elections #BuildTheDamnWall #EndChainMigration #MandateEverify #NoAmnesty #KeepPheonixPromise National Security,0,1,0.9480856,, True,1
149,1693,"The real problem is illegal immigration and if Cristhian Bahena Rivera wasnt in our country, Mollie would be alive today. #MollieTibbets #dummycratoftheweek #justiceforMollie #ElizabethWarren #IllegalAliens",1,0,0.07628296,, False,0
150,2115,😂😂😂lmfao I love you hoe bitch thanks dadddy👅,0,1,0.17013313,, True,0
151,1852,#BarackObama is a lying #degenerate #SocialismSucks #SocialJustice#snowflakes #EndDACA#ObamaLegacy #Federalist69 #unmaskANTIFA #MSM #FakeNews #EnemyOfThePeople #WeaponOfMassDeception,0,0,0.29259574,, False,0
152,25,"@user @user Agreed! Tonight's show was very informative. Tucker is brilliant, and @user is so smart #BuildThatWall",0,1,0.97488254,, True,1
153,2275,"Soon I'm done fucking, bitch put your shoes on",1,1,0.8060606,, True,1
154,1515,"The list of things I wish @user had done at the beginning of his term is long: #TravelBan #EndDACA #EndTPS, #InteriorEnforcement, #EndH4EAD, H-1B reform, termination of the interim Waiver of Admissability, etc.",0,1,0.56654865,, True,1
155,2902,You the whore; slinging your dick back and forth through every bitch,0,1,0.31089434,, True,0
156,617,"Is she admitting to a crime here? Sure sounds like it to me, traitor who should be in prison for life @user @user #BuildTheWall #EndDACA #BoycottNFL #BoycottNike #LockThemAllUp",0,1,0.9539908,, True,1
157,1099,#BuildTheWallNow Before the Midterm elections @user @user @user @user #MAGA #MakeDCListen #NoAmnesty #NoDACAdeal #MandateEverify #EndChainMigration,0,1,0.59014475,, True,1
158,1344,These animals should be removed from our country immediately! #NODACA #BUILDTHEWALL!!!,1,0,0.62527096,, False,1
159,269,someone ever get in your way and you say sorry because you're a polite ass bitch and they don't say anything back & you're like lol IGHT HOE,0,1,0.36420614,, True,0
160,403,#SendThemBack To Their Home Country & to Their Historical Culture in Africa. The #Migrants Appreciate Their #AfricanCulture More Than We Know. @user @user @user @user @user @user,1,0,0.11958459,, False,0
161,2290,"@user @user By god there is a lot of woman and children got off that boat eh,poor holiday makers paying good money to go on holiday to witness that #roundthemup #sendthemback",1,1,0.93634516,, True,1
162,1623,@user @user The USA cant take in all of the worlds refugees. #SendThemHome,1,1,0.36706787,, True,0
163,1374,"Whoever said that a dog is a man’s best friend obviously never met you. Happy birthday, bitch @user ! 😙❤🎉🎂🍻",0,1,0.9902908,, True,1
164,2374,Do ppl just assume I'm a whore bc of how I look? Bc bruh this Bitch can't even get a text back soooo 💁,0,1,0.99217445,, True,1
165,1978,"I read up on that photo yesterday.It's a gypsy shanty town, not a Rapefugee one. Gypsies are likely one of the persecuted groups on Earth, loathed by Firangs & horribly oppressed even now.Endian dimwits who get carried away by Firang wealth & politeness should remember this.",0,1,0.3606633,, True,0
166,273,@user Thank you Mr. President for putting America and its Citizens First#BuildTheWall #BuildTheDamnWall #BuildThatWall #DeportThemAll #ReleaseTheDocuments,0,0,0.96047825,, False,1
167,584,"Bitch wtf is that noise, are the bugs making noise already too??? like go back to sleep you assholes",0,1,0.64091194,, True,1
168,1051,"@user @user Bitch, I'm fun for the whole goddamned family",0,0,0.5876557,, False,1
169,1919,"*blows kiss*  ""You ok?""  ""Fuck you, you fat bitch""  ""Fuck you, whore""",0,0,0.95658296,, False,1
